id,Datum,Feiertag
0,2010-01-01,Neujahr
16,2010-01-06,Heilige Drei Könige
19,2010-04-02,Karfreitag
35,2010-04-04,Ostersonntag
51,2010-04-05,Ostermontag
67,2010-05-01,Erster Mai
83,2010-05-13,Christi Himmelfahrt
99,2010-05-23,Pfingstsonntag
115,2010-05-24,Pfingstmontag
131,2010-06-03,Fronleichnam
148,2010-10-03,Tag der deutschen Einheit
164,2010-11-01,Allerheiligen
169,2010-12-25,1. Weihnachtstag
185,2010-12-26,2. Weihnachtstag
201,2011-01-01,Neujahr
217,2011-01-06,Heilige Drei Könige
220,2011-04-22,Karfreitag
236,2011-04-24,Ostersonntag
252,2011-04-25,Ostermontag
268,2011-05-01,Erster Mai
284,2011-06-02,Christi Himmelfahrt
300,2011-06-12,Pfingstsonntag
316,2011-06-13,Pfingstmontag
332,2011-06-23,Fronleichnam
349,2011-10-03,Tag der deutschen Einheit
365,2011-11-01,Allerheiligen
370,2011-12-25,1. Weihnachtstag
386,2011-12-26,2. Weihnachtstag
402,2012-01-01,Neujahr
418,2012-01-06,Heilige Drei Könige
421,2012-04-06,Karfreitag
437,2012-04-08,Ostersonntag
453,2012-04-09,Ostermontag
469,2012-05-01,Erster Mai
485,2012-05-17,Christi Himmelfahrt
501,2012-05-27,Pfingstsonntag
517,2012-05-28,Pfingstmontag
533,2012-06-07,Fronleichnam
550,2012-10-03,Tag der deutschen Einheit
566,2012-11-01,Allerheiligen
571,2012-12-25,1. Weihnachtstag
587,2012-12-26,2. Weihnachtstag
603,2013-01-01,Neujahr
619,2013-01-06,Heilige Drei Könige
622,2013-03-29,Karfreitag
638,2013-03-31,Ostersonntag
654,2013-04-01,Ostermontag
670,2013-05-01,Erster Mai
686,2013-05-09,Christi Himmelfahrt
702,2013-05-19,Pfingstsonntag
718,2013-05-20,Pfingstmontag
734,2013-05-30,Fronleichnam
751,2013-10-03,Tag der deutschen Einheit
767,2013-11-01,Allerheiligen
772,2013-12-25,1. Weihnachtstag
788,2013-12-26,2. Weihnachtstag
804,2014-01-01,Neujahr
820,2014-01-06,Heilige Drei Könige
823,2014-04-18,Karfreitag
839,2014-04-20,Ostersonntag
855,2014-04-21,Ostermontag
871,2014-05-01,Erster Mai
887,2014-05-29,Christi Himmelfahrt
903,2014-06-08,Pfingstsonntag
919,2014-06-09,Pfingstmontag
935,2014-06-19,Fronleichnam
952,2014-10-03,Tag der deutschen Einheit
968,2014-11-01,Allerheiligen
973,2014-12-25,1. Weihnachtstag
989,2014-12-26,2. Weihnachtstag
1005,2015-01-01,Neujahr
1021,2015-01-06,Heilige Drei Könige
1024,2015-04-03,Karfreitag
1040,2015-04-05,Ostersonntag
1056,2015-04-06,Ostermontag
1072,2015-05-01,Erster Mai
1088,2015-05-14,Christi Himmelfahrt
1104,2015-05-24,Pfingstsonntag
1120,2015-05-25,Pfingstmontag
1136,2015-06-04,Fronleichnam
1153,2015-10-03,Tag der deutschen Einheit
1169,2015-11-01,Allerheiligen
1174,2015-12-25,1. Weihnachtstag
1190,2015-12-26,2. Weihnachtstag
1206,2016-01-01,Neujahr
1222,2016-01-06,Heilige Drei Könige
1225,2016-03-25,Karfreitag
1241,2016-03-27,Ostersonntag
1257,2016-03-28,Ostermontag
1273,2016-05-01,Erster Mai
1289,2016-05-05,Christi Himmelfahrt
1305,2016-05-15,Pfingstsonntag
1321,2016-05-16,Pfingstmontag
1337,2016-05-26,Fronleichnam
1354,2016-10-03,Tag der deutschen Einheit
1370,2016-11-01,Allerheiligen
1375,2016-12-25,1. Weihnachtstag
1391,2016-12-26,2. Weihnachtstag
1407,2017-01-01,Neujahr
1423,2017-01-06,Heilige Drei Könige
1426,2017-04-14,Karfreitag
1442,2017-04-16,Ostersonntag
1458,2017-04-17,Ostermontag
1474,2017-05-01,Erster Mai
1490,2017-05-25,Christi Himmelfahrt
1506,2017-06-04,Pfingstsonntag
1522,2017-06-05,Pfingstmontag
1538,2017-06-15,Fronleichnam
1545,2017-10-31,Reformationstag
1562,2017-10-03,Tag der deutschen Einheit
1578,2017-11-01,Allerheiligen
1583,2017-12-25,1. Weihnachtstag
1599,2017-12-26,2. Weihnachtstag
1615,2018-01-01,Neujahr
1631,2018-01-06,Heilige Drei Könige
1634,2018-03-30,Karfreitag
1650,2018-04-01,Ostersonntag
1666,2018-04-02,Ostermontag
1682,2018-05-01,Erster Mai
1698,2018-05-10,Christi Himmelfahrt
1714,2018-05-20,Pfingstsonntag
1730,2018-05-21,Pfingstmontag
1746,2018-05-31,Fronleichnam
1763,2018-10-03,Tag der deutschen Einheit
1779,2018-11-01,Allerheiligen
1784,2018-12-25,1. Weihnachtstag
1800,2018-12-26,2. Weihnachtstag
,,
