,date,start,end
0,01-01,7:52:55 AM,5:27:36 PM
1,01-02,7:52:55 AM,5:28:32 PM
2,01-03,7:52:52 AM,5:29:31 PM
3,01-04,7:52:46 AM,5:30:31 PM
4,01-05,7:52:38 AM,5:31:33 PM
5,01-06,7:52:27 AM,5:32:37 PM
6,01-07,7:52:13 AM,5:33:43 PM
7,01-08,7:51:56 AM,5:34:51 PM
8,01-09,7:51:37 AM,5:36:00 PM
9,01-10,7:51:15 AM,5:37:11 PM
10,01-11,7:50:51 AM,5:38:23 PM
11,01-12,7:50:23 AM,5:39:37 PM
12,01-13,7:49:53 AM,5:40:53 PM
13,01-14,7:49:21 AM,5:42:09 PM
14,01-15,7:48:45 AM,5:43:27 PM
15,01-16,7:48:08 AM,5:44:46 PM
16,01-17,7:47:27 AM,5:46:07 PM
17,01-18,7:46:44 AM,5:47:28 PM
18,01-19,7:45:59 AM,5:48:51 PM
19,01-20,7:45:11 AM,5:50:14 PM
20,01-21,7:44:21 AM,5:51:39 PM
21,01-22,7:43:28 AM,5:53:04 PM
22,01-23,7:42:34 AM,5:54:30 PM
23,01-24,7:41:36 AM,5:55:57 PM
24,01-25,7:40:37 AM,5:57:25 PM
25,01-26,7:39:35 AM,5:58:53 PM
26,01-27,7:38:31 AM,6:00:22 PM
27,01-28,7:37:24 AM,6:01:51 PM
28,01-29,7:36:16 AM,6:03:21 PM
29,01-30,7:35:05 AM,6:04:52 PM
30,01-31,7:33:53 AM,6:06:22 PM
31,02-01,7:32:38 AM,6:07:54 PM
32,02-02,7:31:22 AM,6:09:25 PM
33,02-03,7:30:03 AM,6:10:57 PM
34,02-04,7:28:43 AM,6:12:29 PM
35,02-05,7:27:20 AM,6:14:02 PM
36,02-06,7:25:56 AM,6:15:35 PM
37,02-07,7:24:30 AM,6:17:07 PM
38,02-08,7:23:03 AM,6:18:40 PM
39,02-09,7:21:33 AM,6:20:13 PM
40,02-10,7:20:02 AM,6:21:47 PM
41,02-11,7:18:30 AM,6:23:20 PM
42,02-12,7:16:56 AM,6:24:53 PM
43,02-13,7:15:20 AM,6:26:27 PM
44,02-14,7:13:43 AM,6:28:00 PM
45,02-15,7:12:04 AM,6:29:33 PM
46,02-16,7:10:24 AM,6:31:07 PM
47,02-17,7:08:42 AM,6:32:40 PM
48,02-18,7:06:59 AM,6:34:14 PM
49,02-19,7:05:15 AM,6:35:47 PM
50,02-20,7:03:30 AM,6:37:20 PM
51,02-21,7:01:43 AM,6:38:53 PM
52,02-22,6:59:55 AM,6:40:26 PM
53,02-23,6:58:06 AM,6:41:59 PM
54,02-24,6:56:16 AM,6:43:32 PM
55,02-25,6:54:24 AM,6:45:05 PM
56,02-26,6:52:32 AM,6:46:38 PM
57,02-27,6:50:39 AM,6:48:10 PM
58,02-28,6:48:44 AM,6:49:43 PM
59,02-29,6:46:49 AM,6:51:15 PM
60,03-01,6:44:53 AM,6:52:47 PM
61,03-02,6:42:56 AM,6:54:20 PM
62,03-03,6:40:58 AM,6:55:52 PM
63,03-04,6:38:59 AM,6:57:24 PM
64,03-05,6:36:59 AM,6:58:56 PM
65,03-06,6:34:59 AM,7:00:28 PM
66,03-07,6:32:58 AM,7:02:00 PM
67,03-08,6:30:56 AM,7:03:32 PM
68,03-09,6:28:54 AM,7:05:03 PM
69,03-10,6:26:51 AM,7:06:35 PM
70,03-11,6:24:47 AM,7:08:07 PM
71,03-12,6:22:43 AM,7:09:39 PM
72,03-13,6:20:38 AM,7:11:10 PM
73,03-14,6:18:33 AM,7:12:42 PM
74,03-15,6:16:28 AM,7:14:14 PM
75,03-16,6:14:22 AM,7:15:45 PM
76,03-17,6:12:15 AM,7:17:17 PM
77,03-18,6:10:08 AM,7:18:49 PM
78,03-19,6:08:01 AM,7:20:21 PM
79,03-20,6:05:54 AM,7:21:53 PM
80,03-21,6:03:46 AM,7:23:25 PM
81,03-22,6:01:38 AM,7:24:57 PM
82,03-23,5:59:29 AM,7:26:29 PM
83,03-24,5:57:21 AM,7:28:01 PM
84,03-25,5:55:12 AM,7:29:33 PM
85,03-26,5:53:04 AM,7:31:06 PM
86,03-27,5:50:55 AM,7:32:38 PM
87,03-28,5:48:46 AM,7:34:11 PM
88,03-29,5:46:37 AM,7:35:44 PM
89,03-30,5:44:28 AM,7:37:17 PM
90,03-31,5:42:19 AM,7:38:50 PM
91,04-01,5:40:10 AM,7:40:24 PM
92,04-02,5:38:01 AM,7:41:57 PM
93,04-03,5:35:53 AM,7:43:31 PM
94,04-04,5:33:44 AM,7:45:05 PM
95,04-05,5:31:36 AM,7:46:39 PM
96,04-06,5:29:28 AM,7:48:13 PM
97,04-07,5:27:20 AM,7:49:48 PM
